episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
279,,-0.3898996235884567,102,86,1260,644,0,1284,67.12
280,47.17584991455078,-0.38803191489361705,100,88,1102,737,0,1921,70.23
281,,-0.35633333333333334,102,80,1458,584,0,958,66.09
282,,-0.3577075098814229,102,82,1358,561,0,1117,66.54
283,,-0.36907289455060155,100,86,1283,562,0,981,69.67
284,52.54188537597656,-0.3723564954682779,101,76,1163,535,0,950,65.11
285,,-0.4011406844106464,100,102,602,1754,0,1852,74.85
286,,-0.39144736842105265,103,88,503,1392,0,1753,67.63
287,,-0.39547038327526135,101,91,435,1659,0,1350,72.79
288,59.03966522216797,-0.3910800970873786,102,94,481,1461,0,1354,69.8
289,,-0.3761290322580645,100,92,465,1697,0,938,68.39
290,,-0.3680297397769517,101,85,488,1366,0,836,58.26
291,,-0.3848314606741573,101,84,465,1552,0,831,64.69
292,36.625606536865234,-0.38096641131408365,103,83,473,2010,0,911,71.68
293,,-0.36816816816816816,102,88,547,939,0,1844,69.83
294,,-0.39573251209854815,101,90,961,1446,0,2139,87.4
295,,-0.39073881373569197,100,91,775,1214,0,1855,80.43
296,28.937118530273438,-0.3925064599483204,100,97,730,1185,0,1955,90.61
297,,-0.3830177153329261,104,81,516,1645,0,1113,75.44
298,,-0.3797071129707113,100,87,334,1596,0,938,65.89
299,,-0.38226108682073706,100,88,384,1533,0,1285,68.75
300,47.39637756347656,-0.35714285714285715,102,88,355,1687,0,1136,71.38
301,,-0.38403263403263405,100,88,856,1051,0,1525,77.07
302,,-0.3696439348219674,100,86,892,897,0,1525,69.46
303,,-0.3734484619535888,100,84,990,947,0,1769,80.21
304,26.71758460998535,-0.3630787495053423,102,94,1087,1472,0,2495,87.42
305,,-0.3767814726840855,102,84,1257,830,0,1281,71.73
306,,-0.35007974481658694,101,84,1038,545,0,925,65.06
307,,-0.3555408970976253,101,83,1076,726,0,1230,71.55
308,30.52818489074707,-0.3713883016208598,103,78,1169,692,0,977,72.01
309,,-0.4055977229601518,102,84,820,814,0,2582,77.75
310,,-0.39994959677419356,101,87,948,888,0,2132,76.49
311,,-0.3840924541128484,103,87,702,726,0,1514,70.89
312,23.97920036315918,-0.3774728781110402,101,82,990,866,0,1278,72.62
313,,-0.35804962492787074,100,81,780,1137,0,1549,76.49
314,,-0.3762603116406966,100,96,926,1373,0,2065,82.61
315,,-0.400287631831256,101,80,783,1271,0,2118,80.75
316,39.983306884765625,-0.39945538332635105,101,89,971,1450,0,2353,88.62
317,,-0.38626251390433813,101,80,582,963,0,2051,75.42
318,,-0.38493269648284845,101,96,846,1468,0,2292,86.87
319,,-0.3949557982319293,104,84,732,1045,0,2069,84.36
320,54.06818771362305,-0.3778526970954357,100,83,728,1266,0,1862,83.77
321,,-0.3835616438356164,102,95,456,1719,0,1183,80.8
322,,-0.38672102504368083,100,87,392,1840,0,1202,82.18
323,,-0.39702308626974486,100,89,333,1672,0,1287,81.71
324,50.153907775878906,-0.3832351365827531,100,86,317,2159,0,1258,80.55
325,,-0.3635120350109409,100,82,784,979,0,1893,81.02
326,,-0.373134328358209,105,82,807,1024,0,1787,78.74
327,,-0.3878787878787879,100,86,964,887,0,1779,79.18
328,44.71577072143555,-0.3767401392111369,102,89,930,921,0,1597,75.22
329,,-0.38619495299356754,100,90,756,1155,0,2131,79.58
330,,-0.38025078369905957,100,89,725,929,0,1536,72.14
331,,-0.3905787917194761,100,91,771,1123,0,2840,86.01
332,24.90117073059082,-0.39956011730205276,101,95,702,1004,0,2386,81.76
333,,-0.3752107925801012,100,87,1118,1040,0,1400,78.07
334,,-0.38370607028753995,101,88,938,975,0,1217,76.37
335,,-0.3613963039014374,103,86,801,987,0,1134,72.8
336,32.480552673339844,-0.37738663484486873,100,86,825,1166,0,1361,77.29
337,,-0.3922413793103448,100,94,566,1706,0,1440,81.65
338,,-0.38364197530864197,100,83,499,1316,0,1425,75.84
339,,-0.3892466194462331,102,86,450,1301,0,1355,75.57
340,54.626895904541016,-0.3886756238003839,100,88,471,1415,0,1240,73.44
341,,-0.38605898123324395,101,84,269,1584,0,1131,74.12
342,,-0.39793577981651373,100,90,478,1590,0,1420,78.17
343,,-0.3906810035842294,100,92,293,1657,0,1398,76.03
344,60.45866775512695,-0.386968085106383,100,86,321,1661,0,1026,69.59
345,,-0.3763975155279503,101,78,1054,655,0,1511,84.57
346,,-0.3956123432979749,102,90,1439,824,0,1885,88.83
347,,-0.36905497220506484,101,72,989,630,0,1619,79.28
348,41.98398208618164,-0.36437908496732024,100,82,1195,683,0,1794,93.16
349,,-0.39380053908355794,100,91,721,1055,0,1934,78.04
350,,-0.38930163447251115,100,92,867,1021,0,2150,84.57
351,,-0.3916339135317238,101,89,610,1008,0,1944,75.06
352,87.51953887939453,-0.35832414553472985,100,84,694,1015,0,1919,80.13
353,,-0.35859269282814615,100,88,596,890,0,1470,73.19
354,,-0.39612842304060436,100,92,728,1120,0,2388,85.31
355,,-0.3823866896156053,100,84,588,1110,0,1788,78.66
356,39.140811920166016,-0.39903846153846156,100,91,809,1366,0,1985,88.32
357,,-0.3647119341563786,102,86,1067,1270,0,1551,83.74
358,,-0.3611786148238153,103,87,873,1075,0,1344,76.39
359,,-0.3494845360824742,100,87,727,955,0,1228,75.37
360,47.66956329345703,-0.37416851441241683,100,92,1074,1098,0,1436,81.6
361,,-0.3681525241675618,101,89,1153,1145,0,1426,87.49
362,,-0.36727045596502184,101,86,1132,714,0,1356,76.59
363,,-0.38118527042577677,100,87,1188,987,0,1301,83.13
364,63.924583435058594,-0.3865351131746953,101,92,1136,992,0,1318,81.43
365,,-0.3923076923076923,100,80,403,1688,0,1159,79.83
366,,-0.3971840209561231,103,88,361,1498,0,1195,73.03
367,,-0.37138263665594856,102,86,405,1414,0,1291,77.27
368,31.908052444458008,-0.40214067278287463,100,92,394,1548,0,1328,76.49
369,,-0.37370753323485967,101,91,269,1669,0,770,71.18
370,,-0.400352733686067,102,91,350,1974,0,1078,77.46
371,,-0.3791250959324635,100,87,186,1590,0,830,70.05
372,67.06051635742188,-0.36985345429169575,103,84,316,1711,0,839,70.59
373,,-0.35429709732498577,100,81,712,1064,0,1738,75.99
374,,-0.39127290260366443,101,92,698,1103,0,2347,80.53
375,,-0.4035921817221342,107,90,767,1018,0,2001,83.64
376,72.94248962402344,-0.38105263157894737,102,86,618,930,0,2252,81.57
377,,-0.3879492600422833,100,87,1327,528,0,983,73.6
378,,-0.40218943360304615,100,82,1265,810,0,2127,81.5
379,,-0.3433556050482554,101,78,960,579,0,1155,70.73
380,46.635536193847656,-0.38321596244131456,101,85,1127,663,0,1618,73.69
381,,-0.3915094339622642,104,88,696,1007,0,1901,81.97
382,,-0.36751080914144535,100,77,532,1017,0,1689,77.64
383,,-0.34410195613515115,101,78,717,1089,0,1568,80.24
384,100.08818054199219,-0.38601532567049807,100,89,709,1157,0,2310,84.1
385,,-0.4045497185741088,100,93,807,1227,0,2230,87.52
386,,-0.3864522417153996,101,90,797,1200,0,2107,84.74
387,,-0.3923556942277691,100,88,669,945,0,2232,80.3
388,66.51509094238281,-0.3921191734742912,100,93,888,1368,0,1906,84.81
389,,-0.38290598290598293,104,90,1361,976,0,1173,77.93
390,,-0.3809854267869535,101,84,1128,920,0,834,69.18
391,,-0.3730428863172226,100,82,1105,911,0,922,73.04
392,33.37038040161133,-0.36185308848080133,101,69,1023,619,0,754,61.7
393,,-0.37616822429906543,100,79,911,1128,0,957,68.7
394,,-0.3780101394169835,101,88,894,1422,0,840,74.24
395,,-0.38627108784176845,101,79,983,1438,0,1017,75.34
396,29.507301330566406,-0.36982968369829683,100,77,1115,1094,0,1079,71.52
397,,-0.40814299900695133,100,87,660,1151,0,2217,78.7
398,,-0.37213302752293576,100,82,729,1055,0,1704,76.46
399,,-0.3976905311778291,104,91,745,1409,0,2176,82.33
400,21.10854721069336,-0.3766304347826087,100,95,726,1113,0,1841,87.67
401,,-0.40359897172236503,100,90,847,1118,0,1147,74.7
402,,-0.3790589794565938,104,93,715,1088,0,1215,70.84
403,,-0.37967718268525313,102,84,707,997,0,1022,71.39
404,22.979976654052734,-0.3613928329952671,100,86,833,831,0,1294,70.24
405,,-0.3769436997319035,101,83,616,1378,0,1736,78.78
406,,-0.35467980295566504,100,79,574,1060,0,1208,70.21
407,,-0.3806201550387597,100,82,658,1455,0,1757,78.7
408,30.804153442382812,-0.3675775091960063,102,82,660,1444,0,1702,77.96
409,,-0.35511363636363635,103,75,232,1779,0,805,68.04
410,,-0.3920940170940171,102,91,392,2447,0,905,79.65
411,,-0.3772189349112426,100,87,297,1585,0,822,65.78
412,54.892662048339844,-0.3887052341597796,101,90,455,1840,0,1335,74.57
413,,-0.37448304383788256,101,101,945,1611,0,2280,91.65
414,,-0.3872,100,88,785,1108,0,1857,77.51
415,,-0.3740808823529412,103,86,521,895,0,1848,69.15
416,61.53426742553711,-0.3805138148327678,102,86,845,1318,0,1963,81.76
417,,-0.3746556473829201,100,88,1079,906,0,1645,72.46
418,,-0.3753581661891118,101,81,956,794,0,1042,65.49
419,,-0.39766081871345027,100,89,1242,743,0,1435,72.53
420,59.5797119140625,-0.3712374581939799,100,82,1054,879,0,1057,67.84
421,,-0.3821451509312781,100,84,389,1584,0,1141,69.23
422,,-0.37974254742547425,100,88,402,1582,0,968,67.19
423,,-0.3760732684602175,103,87,393,1660,0,1441,76.81
424,39.626041412353516,-0.33929903057419836,100,76,274,1275,0,1133,60.87
425,,-0.37289156626506026,100,81,747,1194,0,1379,72.53
426,,-0.36531476997578693,102,85,702,1087,0,1515,71.44
427,,-0.354375,101,86,673,1144,0,1383,70.72
