episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
323,,-0.8233825261868944,50,29,102,52,47,0,3,36.71,0.05
324,3.101983070373535,-1.6855396585406006,51,35,83,45,33,0,5,36.81,0.05
325,,-1.1728467284959223,51,29,84,51,25,0,8,39.12,0.05
326,3.111910343170166,-1.919383446244497,50,33,70,47,19,0,4,34.51,0.05
327,,-1.538038887562794,50,32,79,47,22,0,10,36.58,0.05
328,2.9140615463256836,-1.011856255288466,50,28,88,47,35,0,6,34.16,0.05
329,,-1.2555756767147623,50,29,80,44,33,0,3,43.66,0.05
330,3.591362476348877,-1.2519658628861279,52,28,79,45,33,0,1,34.62,0.05
331,,-1.7069035917968634,53,30,71,37,27,0,7,40.2,0.05
332,4.204970359802246,-1.14371829483351,50,30,88,46,37,0,5,34.31,0.05
333,,-0.8197187601766133,50,27,95,46,46,0,3,32.04,0.05
334,3.426727771759033,-0.96141749479082,53,28,89,52,34,0,3,34.7,0.05
335,,-1.3974371980124147,50,35,89,40,45,0,4,34.44,0.05
336,2.871212959289551,-0.5876176655596315,50,26,107,48,56,0,3,37.18,0.05
337,,-1.4175490338212375,50,36,92,40,49,0,3,34.94,0.05
338,4.060676574707031,-0.9822249907008268,53,34,108,54,48,0,6,38.97,0.05
339,,-1.620435272174579,50,33,79,51,25,0,3,31.86,0.05
340,3.0540804862976074,-2.1355282909149693,50,34,67,41,18,0,8,34.03,0.05
341,,-0.6521751479930431,50,24,98,55,40,0,3,34.87,0.05
342,3.827970504760742,-1.035742265653599,50,25,80,40,32,0,8,35.5,0.05
343,,-0.8886634282406131,51,25,88,45,37,0,6,33.07,0.05
344,3.6028316020965576,-1.579381524374243,50,31,75,40,35,0,0,38.2,0.05
345,,-1.1642538662280062,52,28,82,34,39,0,9,32.98,0.05
346,3.708219528198242,-1.2005965159541085,51,33,97,44,47,0,6,33.1,0.05
347,,-1.7219566134025117,50,32,73,36,27,0,10,38.28,0.05
348,3.370744466781616,-1.5764342011262271,53,35,84,41,41,0,2,34.85,0.05
349,,-1.84171495570954,51,41,90,35,39,0,16,36.75,0.05
350,3.3945693969726562,-1.2106238287443045,50,30,83,42,39,0,2,37.05,0.05
351,,-0.9161019632332187,51,26,86,42,30,0,14,36.39,0.05
352,3.308767795562744,-1.8682762135498903,51,36,79,34,32,0,13,35.58,0.05
353,,-2.130434782608696,50,35,69,38,29,0,2,35.38,0.05
354,3.9841902256011963,-1.9328049380875831,51,33,69,26,33,0,10,33.36,0.05
355,,-1.6441003197806545,51,33,79,34,34,0,11,34.56,0.05
