episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
213,,-1.148162565156417,51,29,84,27,28,0,29,43.04,0.05
214,2.1264262199401855,-1.5681858739814705,51,31,75,21,34,0,20,36.37,0.05
215,,-1.1729346933327596,50,27,78,22,24,0,32,40.06,0.05
216,2.247154712677002,-1.6203655101125185,50,32,76,32,26,0,18,38.62,0.05
217,,-0.9953094215274272,53,26,84,22,35,0,27,39.58,0.05
218,2.625509262084961,-1.0748954836334665,51,28,87,30,22,0,35,35.05,0.05
219,,-0.30981497779943173,50,25,128,52,43,0,33,38.68,0.05
220,2.6252341270446777,-1.1574159055718962,50,29,85,21,44,0,20,34.3,0.05
221,,-1.340187849384987,50,30,79,28,31,0,20,34.77,0.05
222,3.1289658546447754,-1.0009719185064758,50,24,76,28,20,0,28,34.51,0.05
223,,-1.038296544179957,50,26,80,34,26,0,20,35.69,0.05
224,3.0049033164978027,-1.5007316649782616,50,40,99,28,47,0,24,39.07,0.05
225,,-0.5174247039489647,51,23,96,42,30,0,24,39.09,0.05
226,3.3777990341186523,-1.388736151961245,51,28,74,21,32,0,21,34.44,0.05
227,,-0.463596368016077,51,22,97,33,32,0,32,42.1,0.05
228,3.3194308280944824,-1.0618674952245486,51,34,104,28,42,0,34,40.42,0.05
229,,-0.07729069830185765,53,15,95,32,31,0,32,37.83,0.05
230,3.00516939163208,-1.9001939163193573,51,37,78,18,34,0,26,38.01,0.05
231,,-0.6396558524759559,51,22,87,24,35,0,28,36.31,0.05
232,2.374781608581543,-1.353342433731578,51,33,89,31,32,0,26,34.93,0.05
233,,-0.08649928674733567,51,19,116,26,57,0,33,39.73,0.05
234,2.3784825801849365,-1.158882150171549,57,36,107,26,52,0,29,40.06,0.05
235,,-0.6176282976125284,50,22,84,31,28,0,25,46.97,0.05
236,3.3130154609680176,-1.2318983500287617,50,35,98,33,38,0,27,37.98,0.05
237,,-0.5135892778125989,50,26,111,36,43,0,32,37.67,0.05
238,2.941680908203125,-0.9950628987643357,50,34,108,41,41,0,26,36.74,0.05
239,,-0.6394909247054624,50,18,75,14,35,0,26,36.19,0.05
240,2.942195415496826,-0.5802445874665141,52,24,100,29,39,0,32,39.8,0.05
241,,-1.0384109144731364,51,30,93,29,40,0,24,37.13,0.05
242,2.4365973472595215,-1.0641222134134083,52,31,94,27,37,0,30,40.19,0.05
243,,-0.8849605587501508,50,24,82,20,35,0,27,41.36,0.05
244,2.7513511180877686,-1.299562782764469,50,30,80,28,34,0,18,36.33,0.05
245,,-0.5737515959271633,50,21,87,24,31,0,32,37.48,0.05
246,2.876471996307373,-0.7731874176261863,50,21,78,25,28,0,25,40.29,0.05
247,,-0.7162999312587236,51,28,105,35,35,0,35,42.0,0.05
248,3.0655131340026855,-0.17417521351597465,51,16,92,34,36,0,22,36.15,0.05
249,,-1.196573728798719,51,30,86,33,30,0,23,38.24,0.05
250,3.3176777362823486,-0.4625311667974778,50,24,107,34,37,0,36,34.73,0.05
251,,-0.03840401442714113,50,17,108,35,39,0,34,38.42,0.05
252,2.248321056365967,-1.2054320708972954,50,33,96,26,42,0,28,36.96,0.05
253,,-0.9256253595276254,51,23,75,21,29,0,25,38.16,0.05
254,2.499234676361084,-1.3680920791238793,50,27,71,20,31,0,20,37.29,0.05
255,,0.08975626059522034,50,13,100,36,37,0,27,34.51,0.05
256,2.557539939880371,-0.7082217262519241,53,20,80,26,28,0,26,35.22,0.05
257,,-0.04942415797028438,52,14,90,31,37,0,22,41.2,0.05
258,2.7460384368896484,-1.3005447876409437,50,29,79,28,30,0,21,38.72,0.05
259,,-0.7418962078906264,50,28,107,35,30,0,42,36.6,0.05
260,3.3146448135375977,-0.821817339122147,51,27,95,30,36,0,29,41.25,0.05
261,,-1.4192993618447352,50,29,76,23,33,0,20,33.84,0.05
262,3.5035314559936523,-1.2252000671570469,50,28,78,20,33,0,25,36.84,0.05
263,,-0.4031761847874787,51,19,88,25,38,0,25,40.41,0.05
264,2.563852548599243,-0.7565349003373678,51,23,84,27,33,0,24,38.84,0.05
265,,-1.2538466602463458,50,32,88,35,33,0,20,37.44,0.05
266,2.7505805492401123,-0.48433749623474914,50,23,99,28,37,0,34,40.17,0.05
267,,-0.6735418799571391,50,23,87,23,31,0,33,40.24,0.05
268,2.3737120628356934,-0.9293900779234453,51,25,81,26,30,0,25,39.27,0.05
269,,-0.06997676127652382,50,14,86,25,39,0,22,36.89,0.05
270,2.316159725189209,-0.7307254265775954,52,28,104,38,40,0,26,36.94,0.05
271,,-0.286240858494585,51,17,89,30,35,0,24,39.19,0.05
272,3.128828763961792,-0.8425377738468354,51,27,95,33,37,0,25,34.59,0.05
273,,-0.9146989265206698,51,28,92,38,27,0,27,38.13,0.05
274,2.998242139816284,-1.8079198498879532,50,34,76,21,33,0,22,36.57,0.05
275,,-1.1328816357408131,50,34,98,32,37,0,29,38.32,0.05
276,2.498987913131714,-0.16551326562003701,50,18,102,32,42,0,28,38.83,0.05
277,,-1.3622547248988668,50,35,92,39,24,0,29,39.56,0.05
278,2.5605626106262207,-1.243860589498513,50,29,81,22,27,0,32,40.73,0.05
279,,-1.560479074483074,50,38,92,30,39,0,23,36.75,0.05
280,2.6858983039855957,-0.3910772214456268,51,23,109,41,37,0,31,37.23,0.05
281,,-1.5504295067358966,51,35,86,28,31,0,27,37.79,0.05
282,2.9378342628479004,-0.757266051455452,50,23,83,22,36,0,25,35.41,0.05
283,,-0.5942420226815917,51,26,105,38,39,0,28,37.87,0.05
284,3.2542407512664795,-0.5926184415467537,50,23,94,37,39,0,18,35.82,0.05
285,,-0.701299876647689,51,29,108,34,44,0,30,41.36,0.05
286,3.062718391418457,-1.281477419274259,50,28,78,19,33,0,26,36.54,0.05
287,,-0.1625755027004239,51,20,115,36,42,0,37,37.95,0.05
288,2.5055389404296875,-0.4272735620557368,50,25,113,35,46,0,32,41.0,0.05
289,,-0.3895161223406524,51,23,106,32,45,0,29,38.62,0.05
290,2.686877489089966,-1.1729116728266542,50,31,91,21,39,0,31,34.89,0.05
291,,-1.1289722733034964,50,24,72,18,39,0,15,32.73,0.05
292,2.8114213943481445,-1.085874150559966,50,31,93,29,36,0,28,39.69,0.05
293,,-1.8440213084421258,50,35,77,23,38,0,16,32.87,0.05
294,3.1192803382873535,-1.1600958543325648,50,32,93,20,39,0,34,35.23,0.05
295,,-0.7966049562910449,50,20,72,20,14,0,38,34.43,0.05
296,3.060884714126587,-1.1921502382240452,50,34,95,34,33,0,28,37.92,0.05
297,,-0.8989376940655818,52,21,71,23,27,0,21,37.82,0.05
298,2.6262285709381104,-0.40023634310727463,51,24,107,37,32,0,38,37.9,0.05
299,,-1.2334327190703298,54,31,89,25,30,0,34,37.93,0.05
300,2.7557411193847656,-0.8261729459662912,50,25,88,32,37,0,19,36.66,0.05
301,,-0.5804474116290536,50,27,107,36,34,0,37,41.52,0.05
302,2.436211347579956,-0.517048833584841,53,25,107,34,43,0,30,37.76,0.05
303,,-0.5657151487338536,50,21,87,32,30,0,25,37.94,0.05
304,2.496548652648926,-1.3114749916161381,50,28,77,34,28,0,15,36.19,0.05
305,,-1.3911146792684053,50,36,96,25,45,0,26,36.81,0.05
306,2.628173828125,-0.7820921008457499,50,24,89,27,37,0,25,34.41,0.05
307,,-0.5636754445014125,51,20,82,32,25,0,25,41.57,0.05
308,2.9938976764678955,-0.9134151754749603,50,24,83,30,26,0,27,45.17,0.05
309,,-0.3163767240141522,50,16,82,21,35,0,26,35.74,0.05
310,2.239417314529419,-0.4273672613270269,50,21,97,31,36,0,30,38.04,0.05
311,,-0.9792249144019035,50,29,92,25,40,0,27,38.66,0.05
312,2.939432144165039,-1.1511136462307403,52,34,100,36,33,0,31,45.6,0.05
313,,-1.38531987539007,51,28,73,21,28,0,24,34.99,0.05
314,2.8065977096557617,-0.6268260221060575,51,20,77,25,32,0,20,34.73,0.05
