episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
137,,-0.4162684891522157,51,17,80,8,11,0,61,32.79,0.1
138,2.87640118598938,-1.0390298193194218,51,23,72,9,8,0,55,32.65,0.1
139,,-1.6506960778841446,50,24,56,9,5,0,42,32.85,0.1
140,2.1400465965270996,-0.8387791867993187,51,21,73,10,7,0,56,35.09,0.1
141,,-0.8333448708673276,53,21,73,9,11,0,53,33.61,0.1
142,2.780435562133789,-1.171620548826035,51,24,70,14,11,0,45,35.23,0.1
143,,-0.576982582344384,50,16,67,16,6,0,45,32.06,0.1
144,2.582139015197754,-0.7427384803457279,50,21,78,15,6,0,57,34.85,0.1
145,,-0.6349717152989743,50,17,68,11,14,0,43,33.06,0.1
146,2.9924824237823486,-0.7975651713688934,50,18,66,14,4,0,48,34.43,0.1
147,,-0.18145833833157,50,13,76,20,6,0,50,34.17,0.1
148,2.5753097534179688,-0.7592262277600718,52,20,74,8,17,0,49,34.59,0.1
149,,-0.5664978786081449,50,19,77,10,11,0,56,32.98,0.1
150,2.6997456550598145,-0.4961776016033021,50,18,78,12,13,0,53,35.39,0.1
151,,-0.7706629391629345,51,17,63,7,11,0,45,31.99,0.1
152,2.3028650283813477,-0.8473450674782518,50,20,70,11,13,0,46,33.5,0.1
153,,-0.8109987843484457,51,21,73,10,12,0,51,35.6,0.1
154,2.183222532272339,-1.493902237002222,51,24,62,7,5,0,50,33.08,0.1
155,,-0.96250511927007,51,26,85,11,9,0,65,33.43,0.1
156,2.6989827156066895,-0.9725556477804218,50,21,69,9,6,0,54,32.01,0.1
157,,-0.4799966794226575,50,16,71,11,14,0,46,32.69,0.1
158,2.4087443351745605,-0.4479019917501246,50,19,86,11,8,0,67,35.87,0.1
159,,-1.0372259609965317,50,21,68,9,4,0,55,34.79,0.1
160,2.183047294616699,-0.3424230758325077,51,18,87,15,14,0,58,32.97,0.1
161,,-0.7036957102798662,51,19,75,12,11,0,52,32.68,0.1
