episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
228,2.1077640056610107,-0.33553436877962084,52,18,88,78,6,0,4,33.45,0.05
229,,-0.19561123307984826,50,16,97,90,6,0,1,33.13,0.05
230,2.519857883453369,-0.1251623004624865,53,14,89,83,4,0,2,37.08,0.05
231,,-0.586307029752163,50,19,78,71,2,0,5,33.62,0.05
232,2.0875182151794434,-0.24023677604516208,51,20,106,96,5,0,5,36.48,0.05
233,,-0.6163621571455997,50,19,74,67,6,0,1,32.85,0.05
234,2.1748030185699463,-0.8189582789018185,50,21,72,66,4,0,2,34.24,0.05
235,,-0.23211343936451553,51,18,103,98,2,0,3,35.98,0.05
236,2.429218292236328,-0.3863488353262324,50,18,82,78,2,0,2,34.88,0.05
237,,0.012257613570875375,50,13,96,88,3,0,5,34.48,0.05
238,2.381870746612549,-0.13540654688662965,52,17,109,104,2,0,3,38.07,0.05
239,,-0.12300323523722387,50,15,98,92,3,0,3,34.39,0.05
240,1.904395341873169,-0.06726345913758253,50,17,109,98,7,0,4,35.96,0.05
241,,-0.28018952347807186,51,16,83,80,2,0,1,33.25,0.05
242,2.341580629348755,-0.2089110436582033,51,17,103,96,4,0,3,33.96,0.05
243,,-0.058675759460148094,52,14,100,95,5,0,0,32.69,0.05
244,2.3409993648529053,-0.15842184275000282,51,16,91,89,2,0,0,34.12,0.05
245,,-0.7304413230102761,51,24,88,72,10,0,6,31.16,0.05
246,3.173044443130493,-0.36428319605873094,51,21,102,94,4,0,4,36.01,0.05
247,,-0.5774977246569597,51,25,105,99,2,0,4,34.48,0.05
248,2.1285502910614014,-0.09805011132746867,51,16,105,101,2,0,2,33.49,0.05
249,,-0.2360826910793384,50,18,102,91,4,0,7,35.93,0.05
250,2.5268750190734863,-0.7336264250849287,50,24,90,78,10,0,2,31.41,0.05
251,,-0.13938093344562774,50,14,91,86,4,0,1,32.55,0.05
252,2.1085476875305176,-0.11303969537600646,50,14,91,85,5,0,1,32.61,0.05
253,,-1.1408450523392435,51,24,71,65,3,0,3,32.88,0.05
254,2.1690962314605713,-1.4458644532203477,50,32,82,76,3,0,3,32.69,0.05
255,,-0.45309914485285735,50,20,95,87,4,0,4,33.51,0.05
256,1.6840063333511353,-0.7165733576579996,50,22,79,76,3,0,0,35.48,0.05
257,,-0.6736914344353218,50,24,94,81,8,0,5,29.31,0.05
