episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1813,,-1.7003185591360812,50,42,97,82,1,0,14,38.31,0.05
1814,3.7043092250823975,-0.9294207422651012,51,33,107,84,3,0,20,49.62,0.05
1815,,-1.1937486247559288,50,47,134,108,4,0,22,45.78,0.05
1816,3.1908164024353027,-0.8262860993959018,52,35,119,93,2,0,24,47.86,0.05
1817,,-1.0852903346851652,52,37,110,92,3,0,15,42.43,0.05
1818,2.9060730934143066,-1.16792131675681,50,33,97,78,4,0,15,46.68,0.05
1819,,-0.6203208044681572,50,39,152,101,4,0,47,60.12,0.05
1820,2.883334159851074,-0.6662044464929331,52,39,149,121,2,0,26,45.62,0.05
1821,,-1.8493569020621776,50,46,98,73,2,0,23,69.09,0.05
1822,3.3007240295410156,-1.098799002226495,50,32,94,72,0,0,22,48.66,0.05
1823,,-0.07051934100101909,50,27,162,103,6,0,53,75.76,0.05
1824,3.3011093139648438,-0.8534963437225684,50,34,114,73,0,0,41,60.31,0.05
1825,,-2.195302250996339,50,41,80,65,2,0,13,63.43,0.05
1826,3.41715931892395,-1.0869084836503446,50,36,108,75,2,0,31,41.85,0.05
1827,,-0.65664151089673,50,33,122,99,2,0,21,51.56,0.05
1828,3.3261568546295166,-0.10713584464654403,50,30,177,129,4,0,44,48.15,0.05
1829,,-1.8079988417290513,50,41,90,74,1,0,15,37.73,0.05
1830,3.2541494369506836,-1.314997805117299,50,37,100,76,4,0,20,35.98,0.05
1831,,-1.4166829278552011,50,45,114,89,1,0,24,37.5,0.05
1832,2.9513039588928223,-1.3091659368845492,50,37,98,72,2,0,24,46.01,0.05
1833,,-1.7458489317091728,51,39,87,66,1,0,20,52.49,0.05
1834,3.9302332401275635,-1.2927195324216532,51,42,112,89,3,0,20,48.05,0.05
1835,,-1.9672165296573183,51,37,77,63,0,0,14,40.1,0.05
1836,3.472261905670166,-1.4210781374533947,51,36,92,66,0,0,26,74.4,0.05
1837,,-1.0970799313036546,50,38,113,77,1,0,35,46.53,0.05
1838,3.456956386566162,-1.3646581296083777,51,42,111,88,2,0,21,37.78,0.05
1839,,-0.5839011255445264,51,38,153,83,4,0,66,73.69,0.05
